-4KDusm_mD0_30.wav,30.0,40.0,Applause,/m/028ght
-AlpLvWoLKs_30.wav,30.0,40.0,Applause,/m/028ght
-AlpLvWoLKs_30.wav,30.0,40.0,Cheering,/m/053hz1
-AlpLvWoLKs_30.wav,30.0,40.0,Chatter,/m/07rkbfh
-nGysROyDXs_260.wav,260.0,270.0,Applause,/m/028ght
0-fkDb9_MAo_10.wav,10.0,20.0,Applause,/m/028ght
0-ygGIzPk6Y_30.wav,30.0,40.0,Applause,/m/028ght
0PCIys1ZUD4_30.wav,30.0,40.0,Applause,/m/028ght
12uwhfHGp-s_30.wav,30.0,40.0,Applause,/m/028ght
18Ecd_rbNIY_520.wav,520.0,530.0,Applause,/m/028ght
1Fr66lnrnJQ_30.wav,30.0,40.0,Applause,/m/028ght
1Fr66lnrnJQ_30.wav,30.0,40.0,Clapping,/m/0l15bq
1Y4HWY6DHnU_280.wav,280.0,290.0,Applause,/m/028ght
1aPjFKOz1W4_110.wav,110.0,120.0,Applause,/m/028ght
1oTyVZZzIQA_300.wav,300.0,310.0,Applause,/m/028ght
1vq4IpZfFLs_90.wav,90.0,100.0,Applause,/m/028ght
2eEeOLqSFJw_30.wav,30.0,40.0,Applause,/m/028ght
2eEeOLqSFJw_30.wav,30.0,40.0,Cheering,/m/053hz1
2eEeOLqSFJw_30.wav,30.0,40.0,Clapping,/m/0l15bq
2gGPqG1P7yo_350.wav,350.0,360.0,Applause,/m/028ght
2vQ-f5_MBtg_220.wav,220.0,230.0,Applause,/m/028ght
3TchVMhavFo_30.wav,30.0,40.0,Applause,/m/028ght
3ceapk7AuLo_100.wav,100.0,110.0,Applause,/m/028ght
3mLmvKG6EOQ_260.wav,260.0,270.0,Applause,/m/028ght
3rCeT4gjGIk_390.wav,390.0,400.0,Applause,/m/028ght
3t6R4LPdg-4_400.wav,400.0,410.0,Applause,/m/028ght
41cvdBUgffM_13.wav,13.0,23.0,Applause,/m/028ght
45C4_nH5mdY_210.wav,210.0,220.0,Applause,/m/028ght
4G08amtSnq0_30.wav,30.0,40.0,Applause,/m/028ght
4G08amtSnq0_30.wav,30.0,40.0,Crowd,/m/03qtwd
4LfTssAN5t8_0.wav,0.0,9.0,Applause,/m/028ght
4LfTssAN5t8_0.wav,0.0,9.0,Crowd,/m/03qtwd
4PyNfjtaQLY_500.wav,500.0,510.0,Applause,/m/028ght
4Z0sQ2G7puU_10.wav,10.0,20.0,Applause,/m/028ght
4_ITLNi3Wx8_22.wav,22.0,32.0,Applause,/m/028ght
4_ITLNi3Wx8_22.wav,22.0,32.0,Crowd,/m/03qtwd
4_ITLNi3Wx8_22.wav,22.0,32.0,Clapping,/m/0l15bq
4kKTfAZZgSU_10.wav,10.0,20.0,Applause,/m/028ght
57osz5H9Dvw_30.wav,30.0,40.0,Applause,/m/028ght
5AA-fif5mXc_370.wav,370.0,380.0,Applause,/m/028ght
5K7Y_kFwjXE_0.wav,0.0,10.0,Applause,/m/028ght
5SPuxVBDehY_29.wav,29.0,39.0,Applause,/m/028ght
